,Institution Name,City/Town,Country,Address,Latitude,Longitude
0,Massachusetts Institute of Technology (MIT),Cambridge,United States,"77 Massachusetts Avenue Cambridge, United States",42.35891737166005,-71.09346063887153
1,Stanford University,Stanford,United States,"450 Serra Mall Stanford, United States",37.426896,-122.1705135
2,Harvard University,Cambridge,United States,"1350 Massachusetts Avenue Cambridge, United States",42.372648,-71.118657
3,University of Oxford,Oxford,United Kingdom,"Wellington Square Oxford, United Kingdom",51.75736671362782,-1.2625475347603166
4,California Institute of Technology (Caltech),Pasadena,United States,"1200 East California Boulevard Pasadena, United States",34.13909700000001,-118.12386599999999
5,ETH Zurich - Swiss Federal Institute of Technology,Zürich,Switzerland,"Raemistrasse 101 Zürich, Switzerland",47.37621781101033,8.548774722517676
6,University of Cambridge,Cambridge,United Kingdom,"The Old Schools, Trinity Lane Cambridge, United Kingdom",52.20622323042167,0.11637208202812237
7,UCL,London,United Kingdom,"University College London, Gower Street London, United Kingdom",51.52460000000008,-0.13479999999992742
8,Imperial College London,London,United Kingdom,"South Kensington London, United Kingdom",51.49807000000004,-0.17403999999993403
9,University of Chicago,Chicago,United States,"Edward H. Levi Hall, 5801 South Ellis Avenue Chicago, United States",41.789574000000016,-87.60092399999999
10,"Nanyang Technological University, Singapore (NTU)",Singapore,Singapore,"50 Nanyang Avenue Singapore, Singapore",1.3462290000000081,103.68277649999999
11,National University of Singapore (NUS),Singapore,Singapore,"21 Lower Kent Ridge Road Singapore, Singapore",1.2979890000000012,103.77812699999998
12,Princeton University,Princeton,United States,"Princeton University Princeton, United States",40.3495400656405,-74.6600899173385
13,Cornell University,Ithaca,United States,"144 East Avenue Ithaca, United States",42.44720326672056,-76.48275189012614
14,University of Pennsylvania,Philadelphia,United States,"University of Pennsylvania Philadelphia, United States",39.953050000000076,-75.19401999999997
15,Tsinghua University,Beijing,China,"30 Shuangqing Rd Beijing, China",39.88815000000005,116.44133000000011
16,Yale University,New Haven,United States,"Yale University New Haven, United States",41.314500011108564,-72.92326005554244
17,Columbia University,New York,United States,"Columbia University 116th Street & Broadway New York, United States",40.80798,-73.963809
18,EPFL,Lausanne,Switzerland,"Ecole Polytechnique Federale de Lausanne Lausanne, Switzerland",46.519600000000025,6.632220000000075
19,The University of Edinburgh,Edinburgh,United Kingdom,"University of Edinburgh, Old College South Bridge Edinburgh, United Kingdom",55.94754000000006,-3.1862499999999727
20,University of Michigan-Ann Arbor,Arbor,United States,"G-664 Haven Hall, 505 South State Street Ann Arbor, United States",42.275825999999995,-83.74066320430143
21,Peking University,Beijing,China,"No. 5 Yiheyuan Road Haidian District Beijing, China",39.99064000000004,116.28868000000011
22,The University of Tokyo,Tokyo,Japan,"7-3-1 Hongo Tokyo, Japan",35.711451,139.760046
23,Johns Hopkins University,Baltimore,United States,"Johns Hopkins University Baltimore, United States",39.32913000000008,-76.61792999999994
24,Duke University,Durham,United States,"2138 Campus Drive Box 90586 Durham, United States",35.999108900974846,-78.93313863087876
25,The University of Hong Kong,Hong Kong S.A.R.,China,"Main Building, Pokfulam Road, Pokfulam Pok Fu Lam, Hong Kong S.A.R., China",22.26781993067516,114.13176726462041
26,The University of Manchester,Manchester,United Kingdom,"The University of Manchester, Oxford Road Manchester, United Kingdom",53.46613999163286,-2.233690051070421
27,"University of California, Berkeley (UCB)",Berkeley,United States,"Campanile Way Berkeley, United States",37.87154868998462,-122.26003348506195
28,The Australian National University,Canberra,Australia,"The Australian National University Canberra, Australia",-35.27756999999997,149.12647000000004
29,University of Toronto,Toronto,Canada,"27 King's College Circle Toronto, Ontario Toronto, Canada",43.66105559449485,-79.39585385472317
30,Northwestern University,Evanston,United States,"1841 Sheridan Road Evanston, United States",42.04991502148968,-87.67434032415278
31,The Hong Kong University of Science and Technology,Hong Kong S.A.R.,China,"Clear Water Bay Kowloon, Hong Kong S.A.R., China",22.33312086345093,114.20670271773116
32,King's College London,London,United Kingdom,"The Strand London, United Kingdom",51.50786000000005,-0.12682999999992717
33,Kyoto University,Kyoto,Japan,"Yoshida-Honmachi Sakyo-ku Kyoto City, Japan",35.02705021100007,135.78228793900007
34,McGill University,Montreal,Canada,"3415 McTavish Street Montreal, Canada",45.504977845692146,-73.58038511780836
35,"University of California, Los Angeles (UCLA)",Los Angeles,United States,"405 Hilgard Avenue Los Angeles, United States",34.073982879778406,-118.43795074126135
36,Seoul National University,Seoul,South Korea,"1 Gwanak-ro Gwanak-gu Seoul, South Korea",37.472950000000026,126.95303000000001
37,The University of Melbourne,University Park,Australia,"Grattan Street Parkville, Australia",-37.799631000000005,144.95683050000002
38,New York University (NYU),New York,United States,"New York University (NYU) New York, United States",40.729709956143,-73.99696006939227
