,Institution,Institution Latitude,Institution Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Darwin's Ltd.,42.362402245783784,-71.0985137843173,Sandwich Place
1,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Running on the Charles,42.35297500688028,-71.08495950297241,Trail
2,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Lamplighter Brewing Co.,42.367972298496625,-71.09796246689008,Brewery
3,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Island Creek Oyster Bar,42.348838000213455,-71.09527994356623,Seafood Restaurant
4,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Craigie on Main,42.363411,-71.098527,New American Restaurant
5,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Mamaleh's,42.36593318672874,-71.09118017954349,Jewish Restaurant
6,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,The Esplanade,42.35606380136848,-71.0748942990867,Park
7,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Gre.Co,42.34992043391094,-71.08163271570399,Greek Restaurant
8,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Charles River Esplanade,42.351128,-71.100407,Trail
9,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Fenway Park,42.34628160220596,-71.09753459530407,Baseball Stadium
10,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Charles River,42.36147909614144,-71.07603796069375,River
11,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Commonwealth Avenue Mall,42.35188650962934,-71.080033112706,Park
12,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Life Alive,42.36663749458844,-71.10556747293545,Vegetarian / Vegan Restaurant
13,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Pammy's,42.36849309782902,-71.10907802058232,Restaurant
14,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Curio Coffee,42.371496340680295,-71.083522383868,Coffee Shop
15,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Bauer Wines And Spirits,42.348482786560666,-71.08633006270324,Wine Shop
16,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Eataly Boston,42.34770722012833,-71.0822973858929,Gourmet Shop
17,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Boston Public Garden,42.35409620792141,-71.06986539610173,Garden
18,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Tatte Bakery & Cafe,42.35790379803664,-71.07043940890395,Bakery
19,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,South West Day Spa,42.34585534827798,-71.10843290554767,Spa
20,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Fenway Beer Shop,42.34492797405652,-71.09990784802288,Liquor Store
21,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Symphony Hall,42.342924329321235,-71.08571359255977,Concert Hall
22,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Thinking Cup,42.35165311712419,-71.07488447907639,Coffee Shop
23,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Urban Grape,42.34650677266698,-71.07455737228517,Wine Shop
24,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,J.P. Licks Beacon Hill,42.36018816908549,-71.07080513710682,Ice Cream Shop
25,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,DCR Hatch Memorial Shell,42.35677981840637,-71.07399152240104,Music Venue
26,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Alive & Kicking Lobsters,42.3625730564002,-71.11380438807852,Seafood Restaurant
27,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Dig Inn,42.3507141,-71.076009,Restaurant
28,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,La Pizza & La Pasta,42.347787132155936,-71.08244398841694,Italian Restaurant
29,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Copley Square,42.34982428518134,-71.07693375573085,Plaza
30,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Fenway Health,42.3439686,-71.0989024,Doctor's Office
31,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Museum of Fine Arts,42.339448915591596,-71.09409345749793,Art Museum
32,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Make Way For Ducklings,42.355569389633914,-71.06976413506933,Outdoor Sculpture
33,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,The Fish & Bone,42.3500224455906,-71.08133352518887,Pet Store
34,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,New Deal Seafood,42.37188471770226,-71.08689396352757,Fish Market
35,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Boston Common,42.355487,-71.064882,Park
36,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Mistral,42.34801719850933,-71.07310209141748,French Restaurant
37,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,The Coast Café,42.36294656600537,-71.11152446321623,Southern / Soul Food Restaurant
38,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Tatte Bakery & Café,42.34579978312548,-71.10691468261768,Bakery
39,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,El Pelon Taqueria,42.343155031290856,-71.0991057024196,Mexican Restaurant
40,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Tatte Bakery & Cafe,42.34400676650579,-71.09999145010102,Café
41,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Mei Mei,42.34748098522834,-71.10594890821594,Chinese Restaurant
42,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Four Seasons Hotel Boston,42.35246777391014,-71.06875196515551,Hotel
43,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Pavement Coffeehouse,42.3441783,-71.09840969999999,Coffee Shop
44,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Cava,42.3439718,-71.0992045,Mediterranean Restaurant
45,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Lone Star Taco Bar,42.37203816373213,-71.08696073837656,Taco Place
46,Massachusetts Institute of Technology (MIT),42.35891737166005,-71.09346063887153,Sweet Cheeks Q,42.34373828994109,-71.10125852846103,BBQ Joint
